admission_month,admission_year,encounter_type,department,diagnosis_category,los_category,insurance_category,gender,race,total_encounters,avg_los,total_deaths,mortality_rate_pct
2024-03-01,2024.0,Emergency,Neurology,Respiratory,Medium Stay,Government,Male,Asian,1,5.0,0,0.0
2026-02-01,2026.0,Emergency,Cardiology,Cardiovascular,Medium Stay,Private,Male,Hispanic,1,6.0,0,0.0
2023-07-01,2023.0,Emergency,General Medicine,Endocrine,Long Stay,Self-Pay,Male,Hispanic,1,9.0,0,0.0
2023-05-01,2023.0,Inpatient,Cardiology,Preventive,Long Stay,Private,Female,Other,1,14.0,0,0.0
2023-11-01,2023.0,Emergency,Neurology,Musculoskeletal,Medium Stay,Private,Male,Asian,1,6.0,1,100.0
2023-09-01,2023.0,Inpatient,Orthopedics,Respiratory,Medium Stay,Government,Male,Asian,1,7.0,0,0.0
2024-07-01,2024.0,Outpatient,Emergency,Cardiovascular,Long Stay,Government,Female,Black,1,15.0,1,100.0
2024-11-01,2024.0,Emergency,Cardiology,Renal,Medium Stay,Private,Female,White,1,7.0,0,0.0
2025-07-01,2025.0,Outpatient,Oncology,Cardiovascular,Long Stay,Government,Male,Asian,1,15.0,0,0.0
2023-09-01,2023.0,Outpatient,General Medicine,Respiratory,Long Stay,Self-Pay,Male,Asian,1,13.0,0,0.0
2026-04-01,2026.0,Outpatient,Neurology,Musculoskeletal,Short Stay,Government,Male,Asian,1,2.0,0,0.0
2024-10-01,2024.0,Inpatient,Neurology,Cardiovascular,Medium Stay,Self-Pay,Male,Asian,1,4.0,0,0.0
2024-12-01,2024.0,Emergency,Orthopedics,Endocrine,Long Stay,Private,Male,Asian,1,9.0,0,0.0
2025-07-01,2025.0,Outpatient,Cardiology,Respiratory,Short Stay,Private,Male,Hispanic,1,2.0,0,0.0
2024-06-01,2024.0,Inpatient,General Medicine,Preventive,Long Stay,Private,Female,Asian,1,9.0,1,100.0
2025-04-01,2025.0,Emergency,Neurology,Respiratory,Long Stay,Private,Female,Hispanic,1,13.0,0,0.0
2023-11-01,2023.0,Emergency,General Medicine,Mental Health,Long Stay,Government,Female,White,1,15.0,0,0.0
2024-12-01,2024.0,Inpatient,Cardiology,Preventive,Long Stay,Private,Female,White,1,10.0,0,0.0
2025-06-01,2025.0,Outpatient,Emergency,Preventive,Long Stay,Government,Male,Hispanic,2,14.5,1,50.0
2025-10-01,2025.0,Outpatient,Cardiology,Respiratory,Short Stay,Private,Male,Hispanic,1,3.0,0,0.0
2023-06-01,2023.0,Outpatient,Oncology,Renal,Long Stay,Self-Pay,Male,Black,1,9.0,0,0.0
2023-12-01,2023.0,Outpatient,Orthopedics,Respiratory,Long Stay,Government,Male,Asian,1,9.0,1,100.0
2023-09-01,2023.0,Inpatient,General Medicine,Mental Health,Medium Stay,Government,Male,Black,1,5.0,0,0.0
2026-01-01,2026.0,Outpatient,Orthopedics,Musculoskeletal,Medium Stay,Government,Male,White,1,7.0,0,0.0
2024-04-01,2024.0,Emergency,Emergency,Mental Health,Short Stay,Self-Pay,Male,Black,1,1.0,0,0.0
2024-09-01,2024.0,Emergency,Neurology,Cardiovascular,Short Stay,Government,Male,Asian,1,3.0,0,0.0
2025-08-01,2025.0,Inpatient,Cardiology,Cardiovascular,Short Stay,Private,Male,White,1,1.0,0,0.0
2024-09-01,2024.0,Inpatient,Oncology,Respiratory,Long Stay,Self-Pay,Female,Hispanic,1,15.0,0,0.0
2024-12-01,2024.0,Outpatient,Neurology,Renal,Short Stay,Self-Pay,Female,Asian,1,3.0,0,0.0
2026-02-01,2026.0,Inpatient,Orthopedics,Respiratory,Medium Stay,Government,Female,Asian,1,6.0,0,0.0
2025-06-01,2025.0,Emergency,Neurology,Respiratory,Long Stay,Self-Pay,Female,Hispanic,1,9.0,1,100.0
2025-03-01,2025.0,Inpatient,General Medicine,Mental Health,Long Stay,Self-Pay,Male,Asian,1,11.0,0,0.0
2025-03-01,2025.0,Inpatient,Cardiology,Cardiovascular,Short Stay,Government,Female,Other,1,2.0,0,0.0
2025-01-01,2025.0,Inpatient,Orthopedics,Cardiovascular,Medium Stay,Self-Pay,Female,Hispanic,1,6.0,0,0.0
2023-07-01,2023.0,Inpatient,Cardiology,Preventive,Long Stay,Government,Male,Other,1,14.0,0,0.0
2026-02-01,2026.0,Outpatient,Neurology,Respiratory,Long Stay,Private,Male,Asian,1,14.0,0,0.0
2024-11-01,2024.0,Emergency,Cardiology,Mental Health,Long Stay,Private,Male,Asian,1,15.0,0,0.0
2023-06-01,2023.0,Emergency,Cardiology,Cardiovascular,Medium Stay,Government,Male,Black,1,7.0,1,100.0
2024-06-01,2024.0,Emergency,Emergency,Respiratory,Medium Stay,Self-Pay,Male,Asian,1,5.0,1,100.0
2023-07-01,2023.0,Inpatient,General Medicine,Respiratory,Long Stay,Government,Female,Black,1,9.0,0,0.0
2025-07-01,2025.0,Emergency,Oncology,Respiratory,Long Stay,Private,Male,Asian,1,15.0,0,0.0
2024-08-01,2024.0,Outpatient,Oncology,Musculoskeletal,Long Stay,Private,Male,Hispanic,1,12.0,0,0.0
2024-06-01,2024.0,Inpatient,General Medicine,Respiratory,Medium Stay,Government,Female,White,2,5.0,1,50.0
2024-07-01,2024.0,Emergency,Emergency,Mental Health,Short Stay,Government,Male,White,1,3.0,0,0.0
2023-05-01,2023.0,Outpatient,Cardiology,Cardiovascular,Medium Stay,Private,Female,Black,1,7.0,0,0.0
2024-03-01,2024.0,Inpatient,Neurology,Respiratory,Medium Stay,Government,Female,Hispanic,1,6.0,0,0.0
2025-10-01,2025.0,Emergency,General Medicine,Preventive,Long Stay,Government,Female,Asian,1,11.0,0,0.0
2024-01-01,2024.0,Inpatient,General Medicine,Cardiovascular,Medium Stay,Government,Male,Other,1,7.0,0,0.0
2025-12-01,2025.0,Outpatient,Orthopedics,Respiratory,Medium Stay,Government,Male,White,1,6.0,0,0.0
2024-11-01,2024.0,Emergency,Cardiology,Preventive,Long Stay,Government,Female,Other,1,8.0,1,100.0
2026-03-01,2026.0,Outpatient,Cardiology,Endocrine,Medium Stay,Government,Male,Asian,1,4.0,0,0.0
2023-06-01,2023.0,Inpatient,General Medicine,Endocrine,Short Stay,Private,Female,White,1,2.0,0,0.0
2024-06-01,2024.0,Inpatient,Cardiology,Mental Health,Long Stay,Private,Male,White,1,12.0,0,0.0
2024-11-01,2024.0,Outpatient,Neurology,Endocrine,Short Stay,Government,Female,Asian,1,3.0,0,0.0
2023-08-01,2023.0,Outpatient,Orthopedics,Cardiovascular,Long Stay,Government,Female,Other,1,11.0,1,100.0
2024-11-01,2024.0,Inpatient,General Medicine,Renal,Medium Stay,Private,Male,Other,1,4.0,0,0.0
2025-05-01,2025.0,Emergency,Orthopedics,Cardiovascular,Medium Stay,Private,Male,Black,1,6.0,0,0.0
2024-07-01,2024.0,Inpatient,Orthopedics,Preventive,Long Stay,Government,Female,Black,1,12.0,0,0.0
2023-09-01,2023.0,Inpatient,Orthopedics,Cardiovascular,Long Stay,Government,Female,Asian,1,12.0,0,0.0
2026-03-01,2026.0,Inpatient,Emergency,Cardiovascular,Long Stay,Private,Female,White,1,14.0,1,100.0
2023-09-01,2023.0,Inpatient,Cardiology,Renal,Medium Stay,Self-Pay,Male,Asian,1,7.0,0,0.0
