department,diagnosis_category,insurance_category,year,total_encounters,avg_los,max_los,min_los,total_deaths,mortality_rate_pct,inpatient_count,outpatient_count,emergency_count,short_stay_count,long_stay_count
Neurology,Preventive,Private,2026.0,3,11.7,15,10,1,33.33,1,1,1,0,3
Cardiology,Musculoskeletal,Government,2026.0,13,6.8,14,1,4,30.77,3,7,3,4,5
Emergency,Musculoskeletal,Private,2024.0,26,8.9,15,1,4,15.38,8,12,6,4,16
Neurology,Mental Health,Private,2024.0,22,7.2,15,1,3,13.64,7,7,8,6,10
Orthopedics,Cardiovascular,Self-Pay,2024.0,74,7.6,15,1,15,20.27,29,27,18,21,35
Orthopedics,Respiratory,Self-Pay,2024.0,56,7.9,15,1,8,14.29,18,21,17,14,30
Orthopedics,Musculoskeletal,Self-Pay,2025.0,19,7.4,13,2,5,26.32,6,4,9,5,7
Cardiology,Cardiovascular,Self-Pay,2026.0,27,6.8,15,1,7,25.93,13,7,7,9,11
Cardiology,Cardiovascular,Government,2023.0,117,8.3,15,1,24,20.51,40,29,48,23,70
Oncology,Cardiovascular,Private,2023.0,43,7.5,15,1,4,9.3,21,13,9,8,21
Emergency,Respiratory,Self-Pay,2026.0,14,7.8,14,1,2,14.29,2,4,8,3,8
Emergency,Endocrine,Government,2025.0,44,9.0,15,1,10,22.73,16,11,17,7,28
Oncology,Renal,Government,2023.0,45,8.8,15,1,9,20.0,21,12,12,7,27
Emergency,Preventive,Government,2023.0,34,9.0,15,1,6,17.65,11,8,15,2,21
Neurology,Renal,Self-Pay,2026.0,8,9.1,15,6,0,0.0,2,0,6,0,5
Neurology,Musculoskeletal,Government,2024.0,56,7.3,15,1,17,30.36,18,21,17,18,23
Neurology,Cardiovascular,Government,2026.0,49,7.8,15,1,10,20.41,20,15,14,12,25
Cardiology,Cardiovascular,Self-Pay,2024.0,77,8.4,15,1,11,14.29,24,27,26,14,43
Cardiology,Cardiovascular,Self-Pay,2023.0,50,7.3,15,1,13,26.0,17,12,21,13,20
Oncology,Cardiovascular,Self-Pay,2024.0,83,8.1,15,1,14,16.87,31,23,29,16,45
Oncology,Musculoskeletal,Private,2024.0,29,8.9,15,1,3,10.34,10,13,6,5,17
Cardiology,Renal,Private,2023.0,19,6.8,15,1,7,36.84,8,7,4,7,9
Neurology,Endocrine,Private,2026.0,5,6.6,15,1,1,20.0,0,2,3,2,2
Neurology,Musculoskeletal,Private,2025.0,23,8.4,15,1,0,0.0,6,9,8,4,14
Oncology,Cardiovascular,Government,2024.0,162,8.0,15,1,29,17.9,44,46,72,36,82
Oncology,Cardiovascular,Self-Pay,2023.0,48,8.3,15,1,14,29.17,14,12,22,7,25
Neurology,Respiratory,Private,2025.0,56,7.6,15,1,11,19.64,21,18,17,12,30
General Medicine,Endocrine,Government,2023.0,43,8.1,15,1,7,16.28,13,12,18,8,26
Emergency,Respiratory,Government,2024.0,88,7.7,15,1,19,21.59,32,32,24,21,45
Emergency,Musculoskeletal,Self-Pay,2024.0,32,7.1,15,1,10,31.25,8,14,10,9,14
Emergency,Endocrine,Private,2023.0,18,8.0,14,2,4,22.22,7,6,5,3,10
Cardiology,Respiratory,Private,2023.0,39,7.8,15,1,7,17.95,10,14,15,7,20
Neurology,Musculoskeletal,Self-Pay,2023.0,22,7.5,15,1,7,31.82,5,5,12,6,11
General Medicine,Renal,Private,2023.0,19,6.0,13,1,3,15.79,10,5,4,6,7
Emergency,Preventive,Self-Pay,2024.0,31,8.2,15,1,6,19.35,10,11,10,4,16
Neurology,Preventive,Government,2024.0,55,8.9,15,1,18,32.73,24,16,15,7,34
Emergency,Musculoskeletal,Self-Pay,2026.0,9,8.0,14,2,2,22.22,4,3,2,1,4
Emergency,Preventive,Government,2026.0,11,6.6,12,1,1,9.09,2,1,8,3,5
Neurology,Cardiovascular,Self-Pay,2023.0,56,7.7,15,1,5,8.93,18,18,20,14,29
Orthopedics,Cardiovascular,Self-Pay,2023.0,53,7.5,15,1,8,15.09,18,18,17,9,26
Oncology,Musculoskeletal,Government,2025.0,64,7.3,15,1,9,14.06,24,19,21,18,29
Oncology,Musculoskeletal,Private,2026.0,15,7.4,14,1,2,13.33,4,6,5,3,6
Cardiology,Endocrine,Self-Pay,2025.0,27,6.7,14,1,5,18.52,9,5,13,6,12
Neurology,Endocrine,Self-Pay,2026.0,15,6.0,15,1,6,40.0,7,5,3,4,4
Orthopedics,Endocrine,Government,2024.0,57,8.0,15,1,9,15.79,16,18,23,12,30
Orthopedics,Preventive,Government,2026.0,14,7.6,15,1,3,21.43,6,4,4,1,7
